id,c,loc,scale,D-static,P-Value
Frankfurt,0.0519,718.7208,376.1886,0.0732,0.9999
Mainz,0.3073,3743.8060,1214.6170,0.0556,1.0000
Kaub,0.2826,3881.5735,1262.4261,0.0556,1.0000
Andernach,0.3215,5649.0760,2084.3831,0.0741,0.9987
Cologne,0.3061,5783.0175,2090.2240,0.0741,0.9987
Rees,0.2842,5960.0225,2107.1972,0.0741,0.9987
